Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
100 % Newly Built Apartment@Dzorwulu,,Dzorwulu,Accra,3,4,290.0 sqm,Ghana cedis,8400,Kwesi Eyiah ,11 Jul  2:40 pm,Apartment,'3 ' master bedroom fully furnished apartment for rent. (2) It comes with modern Interior designs with marble and Spanish floor and wall tailes. (3)Apartment is walled and gated with a security post  swimming pool and a mini supermarket (4) Restaurant (5) 24 hours manned security with CCTV cameras (6) Car park (6) Each room comes with a smart LED television and air condition
4 Bedrooms at Tema Community 25,Inside HFC Estates,Tema,Greater Accra,4,5,7 000.0 sqft,Ghana cedis,6300,CBC (Global) Properties , 5 Jul  2:15 am,Apartment,4 Bedrooms at Tema Community 25 Kofi Annan. Close to com25  Tema. Inside HFC Estates The property has four large bedrooms with ensuite facilities. Three upstairs and one on the ground floor. There are also on the ground floor  one public washroom  large living room  dinning area and a kitchen with a store room. There is also a family living area on the first floor. Outside the main house are a garage with a driveway  a boys quarters with bath and WC facilities and a small kitchenette  and concrete stand for water tanks. The property has seven units of AC's one for each for the two living areas and one for the dinning area. USD $1500 Per Month At least 1 year Call us to arrange for free site visit
New 3 BRM.APT@ adenta SDA,Adenta SDA junction close to the main road thank you.,Adenta,Accra,3,3,35.0 sqft,Ghana cedis,1600,Mubin1177 Ventures Limited ,13 Jul 11:16 pm,Apartment,Fresh three bedrooms at adenta SDA three apartment on one compound all rooms have aircondetion and werdrope sdandby gerator water available compound pave with tiles security at post and cleaner on compound fence wall gated.estrial proparty available afordable thank you.
chamber and hall self contain Lapaz,Lapaz Racecourse last stop,Abeka La Paz,Accra,1,1,100.0 sqm,Ghana cedis,350,KK Solution Limited ,13 Jul 11:05 pm,Apartment,An executive brand new chamber and hall self contain for rent at Lapaz Racecourse last stop about five minutes drive from the trotro station to the house from the last stop  it's in a walled gated house pavement compound neatly tiled water flows everyday plus additional polytank  separate metre fitted kitchen with cabinet  P.O.P ceiling plus ceiling fans rent advance is two years agency terms of registration which is ghc50.00 and a 10 % commission of total amount of rent being paid to the landlord is applied to the agency
Single room self contain Achimota,Achimota Kisseman close to Pure Fire Church,Achimota,Accra,1,1,100.0 sqm,Ghana cedis,300,KK Solution Limited ,13 Jul 11:02 pm,Apartment,An executive and a big single room self contain for rent at Achimota Kisseman close to Pure Fire Church also to Gimpa s school  comes with only four apartments on the compound  room is very spacious neatly tiled with a big kitchen with cabinet separate metre  rent advance is two years agency terms of registration which is ghc50.00 and a 10 % commission of total amount of rent being paid to the landlord is applied to the agency
2 bedrooms apartment East Legon,East Legon Shiahie,Shiashie,Accra,2,1,100.0 sqm,Ghana cedis,1000,KK Solution Limited ,13 Jul 10:59 pm,Apartment,An executive two bedrooms apartment for rent at East Legon Shiahie  it's in a walled gated house cemented compound with a few apartment on the compound  it's in a nice and secured environment  about three minutes drive from Accra Mall to the house rooms are very spacious fitted kitchen with cabinet and a store room  rent advance is two years agency terms of registration which is ghc50.00 and a 10 % commission of total amount of rent being paid to the landlord is applied to the agency 
SNGLE S.CONTAIN Ridge,ENGINEERS CENTRE,Roman Ridge,Accra,1,1,50.0 sqft,Ghana cedis,400,Harmony Real Estates ,13 Jul  9:22 pm,Apartment,A close to road very newly polished big single room self-contained in a comfortable cool decent gated house. Has a neat washroom  a fine polished spacious kitchen plus a large corridor. No water problem at all.it is in a decent environment in town.
2BRM APARTMENT MC CARTHY HILL,,McCarthy Hill,Accra,2,1,2.0 sqft,Ghana cedis,700,Divine Marketing Concept ,13 Jul  5:08 pm,Apartment,1. Neat 2bedroom self contain apartment at Mc Carthy Hills 2 Just 2 minutes drive from main road 3. Only 2 other apartment on the compound of 1acre land 4. All rooms fully tiled 5. Agency registration fee before inspection is gh50 6. Agency commission is 10percent of total amount paid to owner
chamber and hall self contain@Teshie,Malik last stop,Teshie New Town,Accra,1,1,14.0 sqft,Ghana cedis,370,Tert Khay Properties ,13 Jul  4:43 pm,Apartment,It has toilet bath kitchen separate meter walled and gated all the rooms are tiled cemented compound
chamber and hall self contain Teshie,Paris Vila,Teshie New Town,Accra,1,1,14.0 sqft,Ghana cedis,300,Tert Khay Properties ,13 Jul  4:36 pm,Apartment,Chamber and hall self contain with toilet bath kitchen and porch separate meter
3 bedroom with swimming pool Cantonments,Cantonments  near American Embassy,Cantonments,Accra,3,3,200.0 sqm,Ghana cedis,10500,Avenue Properties ,13 Jul  8:24 am,Apartment,An executive three bedroom apartment to let at Cantonments near American Embassy. Each apartment has A/c  internet  DSTV  wardrobe and fan in each room. The kitchen is partly furnished with washing machine  cooker  fridge and microwave. The apartment has a shared swimming pool  a gym  a standby generator and a large car parking area. It has uninterrupted water flow with 24/7 security. It also has management / service team who are always at post to attend to the needs of tenants. The apartment is renting for US$ 2 600 unfurnished and US$ 3 200 fully furnished per month. The amount is inclusive of the service charge. Details and related properties could be seen on avenueghana.com
Chamber and hall Self contain in Madina,St. Peters Container (madina),Madina,Accra,1,1,13.0 sqft,Ghana cedis,300,nicholas VERIFIED,13 Jul  4:17 pm,Apartment,Chamber and hall selfcontain for rent for 2 years. Please no agent .
2 Bedroom APT IN Spintex,Spintex,Spintex,Accra,2,2,100.0 sqft,Ghana cedis,600,Unique Agency ,13 Jul  4:05 pm,Apartment,This a nice 2 Bedroom apartment in spintex for rent.  It has a hall with a fitted kitchen    everywhere is tiled    constant water flow   both bedroom has toilet and bath   self meter   neat compound with space for car park  fence with gate house. 2 years ! We have other options as well . Unique Agency !
2 bedroom apartment -Lashibi,Lashibi Community 16,Spintex,Accra,2,1,3 900.0 sqft,Ghana cedis,800,Smart Properties , 8 Jun  3:28 pm,Apartment,Two bedroom apartment for Lashibi community 16 for rent . Hall and kitchen.  One toilet and bath Very nice environment.  GHS 800 for one year .
single room self contained @ Banchiase,Banchiase  next Ellen hotel,Taifa,Accra,1,1,100.0 sqm,Ghana cedis,200,lovia amoah ,12 Jul  7:31 pm,Apartment,Single room with washroom  tiled floor  fixed burglar proof with glass  fixed ceiling fan  plastic T nd G   nice painting   big corridor for cooking self metre(prepaid)
2 bedroom apartment@spintex,,Spintex,Accra,2,2,100.0 sqm,Ghana cedis,750,Almond Properties ,13 Jul  3:09 pm,Apartment,2 bedroom apartment for rent at Spintex with kitchen and two bathrooms for rent
