Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
2 bedroom house in Pokuase,Pokuase,Pokuase,Accra,2,2,100 sqm,Ghana cedis,1500,Richard ,10 Jul 11:22 am,House,Neat 2 bedroom house at Pokuase 2 washrooms Burglar Proof  In a Gated community with good security
4 BRM HOUSE TO LET  GREDA ESTATES,,Teshie-Nungua Estates,Accra,4,2,0 sqm,Ghana cedis,4500,UT Properties , 7 Jul  4:59 pm,House,A 4 bedroom house located within the cozy environment of Greda Estates  Teshie Nungua. It features 2 en suit bedrooms  living and dining area plus a fitted kitcehn KEY FEATURES Spacious living & dining areas Fitted ac's in all rooms Fitted wardrobes Paved compound Well maintained garden with potted plants
3 bedroom house for rent @ Spintex,Community 20,Spintex,Accra,3,2,180 sqm,Ghana cedis,1500,Maximo Properties ,13 Jul 10:42 am,House,3 bedroom house  at community 20 off the Spintex road is up for rent. It comes with 2 washrooms  a fitted kitchen  wardrobes a hall and dining area  fans louvers  paved compound  etc. The size is 180m2 and price for a month
3 bedroom house for rent @ Spintex,Manet gardens,Spintex,Accra,3,3,180 sqm,Ghana cedis,3200,Maximo Properties ,13 Jul 10:21 am,House,3 bedroom house for rent at Manet gardens  Spintex. It comes with 3 washrooms  a hall and dining area  tiled floors  wardrobes  fitted kitchen  paved compound  etc. The size of the house is 180m2 and the price per month is USD 520.
House to let near Prampram Beach,Oakview Estates near Prampram Beach,Tema,Greater Accra,3,2,90 x 70 sqft,Ghana cedis,2500,Ekow Baiden VERIFIED, 7 Jul  2:18 am,House,This house is located in the fabulous Oakview Estates - A modern gated-neighborhood 6-minutes drive from Prampram Beach and 15 minutes off Tema.  24-hr security and negotiable extent of furnishing!! Available for long-term rent. Also suitable for an individual/family visiting Ghana and desirous of the luxury and economy of a house.  Why stay in a hotel  when you can get a house!! Call now..
5 bedroom house at Atasemanso,,Kumasi Metropolitan,Kumasi,5,4,100 sqm,Ghana cedis,3000,Gappfa Real Estate Agency ,13 Jul 10:12 am,House,This is a five bedroom house at Atasemanso.Contact GAPPFA real estate agency for further details.
4 bedroom house for rent- OLD BARRIER,Kasoa Old barrier,Kasoa,Accra,4,2,144 sqm,Ghana cedis,1100,Janet ,13 Jul  9:24 am,House,The house comes with a garage and has a large parking space. There's constant supply of water and electricity 4 bed rooms 1 master bedroom Toilet and bathroom facilities available Serene environment Shops are available for household purchasing. Adequate security due to it's nearness to the highway Kitchen with installed cabinets
Modern 4bedrom House 4rent Spintex,Spintex,Spintex,Accra,4,5,1590 sqft,Ghana cedis,2000,Nana Kwame Property Agency ,13 Jul  8:34 am,House,Executive nice and modenrly built 4bedroom house with 5washrooms airconditioners and other interested facilities for rent at spintex.call Nana kwame property agency
3 bedroom house at Regimanuel  Spintex,Regimanuel  Spintex Road,Spintex,Accra,3,3,100x70 sqft,Ghana cedis,5200,Avenue Properties ,13 Jul  8:31 am,House,An executive three (3) bedroom estates / townhouse to let at Regimanuel at Spintex Road. Each room has an A/c  wardrobe and fan. The house has dstv connection  grass  trees and a garage and one room outhouse. It has uninterrupted water flow with 24/7 security. The house is renting for US$ 1 300 per month. Find more pictures and other offers on avanueghana.com
6 bedroom house in Cantonments,East Cantonments  Accra,Cantonments,Accra,6,6,100x70 sqft,Ghana cedis,12000,Avenue Properties ,13 Jul  8:28 am,House,Executive six bedroom house with two bedroom outhouse for rent in Cantonments. It's located in a prime zone with 24/7 water flow. The house has garden with trees and a standby generator. It has spacious compound for car parking. The house has partly furnished kitchen  two living areas  dining and a study. Each room has fan  A/C  wardrobe  etc. The house is renting for US$ 3 000 per month (negotiable).
